Program Code,Program Title,Semester,Required Credit,Study Pattern,Subject Code,GE Elective,GE/DS Elective,DS Elective,Cantonese/Putonghua,Eng Level,Total DS,Total GE,Bio Level,Chem Level,Phy Level
8C112-AS,Associate of Science,1,66,II,LCH1046,,,,Cantonese,>2,6,4,<2,>=2,<2
8C112-AS,Associate of Science,1,63,II,SEHH1069,,,,Cantonese,>2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,63,II,SEHH1116,,,,Cantonese,>2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,63,II,SHDH1072,,,,Cantonese,>2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,63,II,SEHH2041,,,,Cantonese,>2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,63,II,SEHH1106,,,,Cantonese,>2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,63,II,SEHH1109,,,,Cantonese,>2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,63,II,LCH1046,,,,Cantonese,>2,6,4,<2,>=2,>=2
8C112-AS,Associate of Science,1,66,II,SEHH1069,,,,Cantonese,>2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,66,II,SEHH1116,,,,Cantonese,>2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,66,II,SHDH1072,,,,Cantonese,>2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,66,II,SEHH1108,,,,Cantonese,>2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,66,II,SEHH1107,,,,Cantonese,>2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,66,II,SEHH1109,,,,Cantonese,>2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,66,II,LCH1046,,,,Cantonese,>2,6,4,>=2,<2,<2
8C112-AS,Associate of Science,1,63,II,SEHH1069,,,,Cantonese,>2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,63,II,SEHH1116,,,,Cantonese,>2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,63,II,SHDH1072,,,,Cantonese,>2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,63,II,SEHH2041,,,,Cantonese,>2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,63,II,SEHH1107,,,,Cantonese,>2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,63,II,SEHH1109,,,,Cantonese,>2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,63,II,LCH1046,,,,Cantonese,>2,6,4,>=2,<2,>=2
8C112-AS,Associate of Science,1,63,II,SEHH1069,,,,Cantonese,>2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,63,II,SEHH1116,,,,Cantonese,>2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,63,II,SHDH1072,,,,Cantonese,>2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,63,II,SEHH1108,,,,Cantonese,>2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,63,II,SEHH1109,,,,Cantonese,>2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,63,II,SEHH1110,,,,Cantonese,>2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,63,II,LCH1046,,,,Cantonese,>2,6,4,>=2,>=2,<2
8C112-AS,Associate of Science,1,69,II,SEHH1069,,,,Putonghua,>2,6,4,<2,<2,<2
8C112-AS,Associate of Science,1,69,II,SEHH1116,,,,Putonghua,>2,6,4,<2,<2,<2
8C112-AS,Associate of Science,1,69,II,SHDH1072,,,,Putonghua,>2,6,4,<2,<2,<2
8C112-AS,Associate of Science,1,69,II,SEHH1108,,,,Putonghua,>2,6,4,<2,<2,<2
8C112-AS,Associate of Science,1,69,II,SEHH1106,,,,Putonghua,>2,6,4,<2,<2,<2
8C112-AS,Associate of Science,1,69,II,SEHH1107,,,,Putonghua,>2,6,4,<2,<2,<2
8C112-AS,Associate of Science,1,69,II,LCH1046,,,,Putonghua,>2,6,4,<2,<2,<2
8C112-AS,Associate of Science,1,66,II,SEHH1069,,,,Putonghua,>2,6,4,<2,<2,>=2
8C112-AS,Associate of Science,1,66,II,SEHH1116,,,,Putonghua,>2,6,4,<2,<2,>=2
8C112-AS,Associate of Science,1,66,II,SHDH1072,,,,Putonghua,>2,6,4,<2,<2,>=2
8C112-AS,Associate of Science,1,66,II,SEHH2041,,,,Putonghua,>2,6,4,<2,<2,>=2
8C112-AS,Associate of Science,1,66,II,SEHH1106,,,,Putonghua,>2,6,4,<2,<2,>=2
8C112-AS,Associate of Science,1,66,II,SEHH1107,,,,Putonghua,>2,6,4,<2,<2,>=2
8C112-AS,Associate of Science,1,66,II,LCH1046,,,,Putonghua,>2,6,4,<2,<2,>=2
8C112-AS,Associate of Science,1,66,II,SEHH1069,,,,Putonghua,>2,6,4,<2,>=2,<2
8C112-AS,Associate of Science,1,66,II,SEHH1116,,,,Putonghua,>2,6,4,<2,>=2,<2
8C112-AS,Associate of Science,1,66,II,SHDH1072,,,,Putonghua,>2,6,4,<2,>=2,<2
8C112-AS,Associate of Science,1,66,II,SEHH1108,,,,Putonghua,>2,6,4,<2,>=2,<2
8C112-AS,Associate of Science,1,66,II,SEHH1106,,,,Putonghua,>2,6,4,<2,>=2,<2
8C112-AS,Associate of Science,1,66,II,SEHH1109,,,,Putonghua,>2,6,4,<2,>=2,<2
